,Ime produkta,Kategorija,Nabavna cena,Prodajna cena,Kratek opis,Dolg opis,Povezava do slike,Proizvajalec,Dobavitelj,Povezava do produkta,Naslov dobavitelja,Časovna norma – storitve
1,Blebox DimmerBox,BLEBOX,29.4,49.0,Modul za svetila,,,BLEBOX,BLEBOX,,,
2,Blebox SwitchBox,BLEBOX,29.4,49.0,Modul za električne naprave,,,BLEBOX,BLEBOX,,,
3,Blebox SwitchBoxLight,BLEBOX,19.2,32.0,Modul za luč,,,BLEBOX,BLEBOX,,,
4,Blebox SwitchBoxD,BLEBOX,29.4,49.0,Modul za upravljanje dveh električnih naprav,,,BLEBOX,BLEBOX,,,
5,Blebox SwitchBoxDC,BLEBOX,21.0,35.0,Modul za nizkonapetostne naprave,,,BLEBOX,BLEBOX,,,
6,Blebox wLightBox,BLEBOX,21.0,35.0,Modul za večbarven LED trak,,,BLEBOX,BLEBOX,,,
7,Blebox wLightBoxS,BLEBOX,15.0,25.0,Modul za enobarven LED trak,,,BLEBOX,BLEBOX,,,
8,Blebox ProxiDimmer,BLEBOX,11.4,19.0,Bližinsko stikalo za enobarvni LED trak,,,BLEBOX,BLEBOX,,,
9,Blebox ProxiSwitch,BLEBOX,11.4,19.0,Bližinsko stikalo za nizkonapetostne naprave,,,BLEBOX,BLEBOX,,,
10,Blebox DoorBox,BLEBOX,31.799999999999997,53.0,Modul za vhodna vrata,,,BLEBOX,BLEBOX,,,
11,Blebox proximitydimmer,BLEBOX,11.4,19.0,,,,BLEBOX,BLEBOX,,,
12,Blebox sRemote,BLEBOX,19.2,32.0,Daljinski upravljalec pametnih naprav,,,BLEBOX,BLEBOX,,,
13,Blebox uRemote - daljinček,BLEBOX,21.0,35.0,Daljinski upravljalec pametnih naprav,,,BLEBOX,BLEBOX,,,
14,Blebox SaunaBox,BLEBOX,75.0,125.0,Modul za savno,,,BLEBOX,BLEBOX,,,
15,Blebox RollerGate,BLEBOX,60.0,100.0,Modul za garažna vrata,,,BLEBOX,BLEBOX,,,
17,Blebox ActionBox,BLEBOX,17.4,29.0,,,,BLEBOX,BLEBOX,,,
18,Blebox ActionBoxS,BLEBOX,15.0,25.0,,,,BLEBOX,BLEBOX,,,
19,Blebox ActionBoxS Wired,BLEBOX,15.0,25.0,,,,BLEBOX,BLEBOX,,,
20,Blebox inBox,BLEBOX,15.0,25.0,Brezžično stikalo,,,BLEBOX,BLEBOX,,,
21,Blebox ShutterBox,BLEBOX,29.4,49.0,Modul za senčila,,,BLEBOX,BLEBOX,,,
22,Blebox ShutterBoxDC,BLEBOX,23.4,39.0,Modul za nizkonapetostna senčila,,,BLEBOX,BLEBOX,,,
23,Blebox GateBoxPRO,BLEBOX,45.0,75.0,Modul za dvoriščna vrata,,,BLEBOX,BLEBOX,,,
24,Blebox GateBox,BLEBOX,39.0,65.0,,,,BLEBOX,BLEBOX,,,
25,Blebox dacboxD DC,BLEBOX,29.4,49.0,,,,BLEBOX,BLEBOX,,,
26,Blebox ThermoBox,BLEBOX,29.4,49.0,,,,BLEBOX,BLEBOX,,,
27,Blebox ThermoBoxSet s senzorjem in okvirjem,BLEBOX,59.4,99.0,,,,BLEBOX,BLEBOX,,,
28,Blebox HumiditySensor,BLEBOX,23.4,39.0,,,,BLEBOX,BLEBOX,,,
29,Blebox FloodSensor,BLEBOX,23.4,39.0,,,,BLEBOX,BLEBOX,,,
30,Blebox TempSensor,BLEBOX,17.4,29.0,Modul za merjenje temperature,,,BLEBOX,BLEBOX,,,
31,Blebox RainSensor,BLEBOX,29.4,49.0,,,,BLEBOX,BLEBOX,,,
32,Blebox WindSensor,BLEBOX,83.39999999999999,139.0,,,,BLEBOX,BLEBOX,,,
33,Blebox ShutterBox DIN,BLEBOX,33.0,55.0,,,,BLEBOX,BLEBOX,,,
34,Blebox SwitchBox DIN,BLEBOX,33.0,55.0,,,,BLEBOX,BLEBOX,,,
35,Blebox SwitchBoxD DIN,BLEBOX,33.0,55.0,,,,BLEBOX,BLEBOX,,,
36,Blebox TempSensorAC,BLEBOX,23.4,39.0,,,,BLEBOX,BLEBOX,,,
37,Blebox TempSensorPRO,BLEBOX,27.0,45.0,,,,BLEBOX,BLEBOX,,,
38,Blebox Temperaturna sonda 1m,BLEBOX,2.946,4.91,,,,BLEBOX,BLEBOX,,,
39,Blebox Temperaturna sonda 2m,BLEBOX,3.438,5.73,,,,BLEBOX,BLEBOX,,,
40,Blebox Temperaturna sonda 5m,BLEBOX,5.069999999999999,8.45,,,,BLEBOX,BLEBOX,,,
41,Blebox Magnetni senzor za vrata,BLEBOX,8.7,14.5,,,,BLEBOX,BLEBOX,,,
42,Remontaža Blebox modula,BLEBOX,18.0,30.0,,,,INTELIGENT,,,,
43,Montaža in konfiguracija pametnega modula,BLEBOX,27.0,45.0,,,,INTELIGENT,,,,
44,Montaža in konfiguracija SaunaBox,BLEBOX,45.0,75.0,,,,INTELIGENT,,,,
45,Montaža pametnega modula,BLEBOX,21.0,35.0,,,,INTELIGENT,,,,
46,Konfiguracija pametnega modula,BLEBOX,13.2,22.0,,,,INTELIGENT,,,,
47,Namestitev aplikacije in prikaz uporabe,BLEBOX,15.0,25.0,,,,INTELIGENT,,,,
49,DVC 2MP Turret kamera - BF2283AIN,DVC,57.0,95.0,Kamera resolucija 2 megapixlov,,,DVC,Alarm Automatika,,,
50,DVC 2MP Bullet Kamera - 2282N,DVC,41.4,69.0,,,,DVC,Alarm Automatika,,,
51,DVC 2MP Bullet kamera - BF2282-DL,DVC,41.4,69.0,Kamera resolucija 2MP,,,DVC,Alarm Automatika,,,
52,DVC 4MP Bullet kamera - BF4282-DL,DVC,57.0,95.0,Kamera resolucija 4MP,,,DVC,Alarm Automatika,,,
